,Store,Department,Weekly Sales
220,1,8,33243.85
221,1,9,42228.79
222,1,10,31090.69
223,1,11,30865.64
224,1,12,9619.81
225,1,13,38625.48
226,1,14,47098.8
227,1,16,9528.26
228,1,17,13337.59
229,1,18,33967.24
230,1,19,1247.56
231,1,20,5994.53
232,1,21,9686.83
233,1,22,6287.0
234,1,23,31848.99
235,1,24,11915.5
236,1,25,11802.37
237,1,26,11918.3
238,1,27,6988.17
239,1,28,526.29
240,1,29,5466.91
241,1,30,3152.56
242,1,31,1675.41
243,1,32,8978.16
244,1,33,10793.97
245,1,34,14744.09
246,1,35,3023.41
247,1,36,1526.35
248,1,37,2786.48
249,1,38,70644.8
250,1,40,53816.93
251,1,41,1005.0
252,1,42,7324.21
253,1,44,7463.46
254,1,46,19731.84
255,1,48,3033.0
256,1,49,9360.35
257,1,52,3617.13
258,1,54,46.92
259,1,55,30868.94
260,1,56,1457.38
261,1,58,6950.0
262,1,59,1243.3
263,1,60,985.6
264,1,67,6242.93
265,1,71,5751.48
266,1,72,244640.55
267,1,74,18281.88
268,1,79,34196.74
269,1,80,17754.36
270,1,81,31047.79
271,1,82,21972.8
272,1,83,5854.41
273,1,85,3313.06
274,1,87,48093.57
275,1,90,116538.94
276,1,91,57154.78
277,1,92,186516.35
278,1,93,90651.47
279,1,94,66409.13
280,1,95,117375.38
281,1,96,39935.58
282,1,97,43039.76
283,1,98,20870.45
284,1,99,950.0
285,1,1,19050.66
286,1,2,47425.29
287,1,3,10856.85
288,1,4,46201.27
289,1,5,70158.86
290,1,6,2360.23
291,1,7,47406.83
292,1,8,36222.74
293,1,9,42228.79
294,1,10,31090.69
295,1,11,30865.64
296,1,12,8311.17
297,1,13,37077.82
298,1,14,15288.8
299,1,16,7370.53
300,1,17,10484.57
301,1,18,33967.24
302,1,19,1904.53
303,1,20,2690.25
304,1,21,9686.83
305,1,22,9107.88
306,1,23,24834.59
307,1,24,8971.35
308,1,25,11802.37
309,1,26,8443.46
310,1,27,2385.59
311,1,28,820.59
312,1,29,5466.91
313,1,30,2395.98
314,1,31,1675.41
315,1,32,6376.16
316,1,33,10793.97
317,1,34,14744.09
318,1,35,3023.41
319,1,36,1710.05
320,1,37,2348.56
321,1,38,65382.93
322,1,40,63497.31
323,1,41,1005.0
324,1,42,7324.21
325,1,44,9212.12
326,1,45,11.97
327,1,46,20061.91
328,1,48,3033.0
329,1,49,11771.07
330,1,52,2828.73
331,1,54,38.92
332,1,55,15807.45
333,1,56,1849.72
334,1,58,6950.0
335,1,59,972.87
336,1,60,985.6
337,1,67,6242.93
338,1,71,2418.32
339,1,72,189532.67
340,1,74,8337.77
341,1,79,34196.74
342,1,80,16633.66
343,1,81,30648.9
344,1,82,21205.01
345,1,83,5854.41
346,1,85,3545.8
347,1,87,54537.22
348,1,90,116538.94
349,1,91,51969.94
350,1,92,173805.71
351,1,93,87401.82
352,1,94,66409.13
353,1,95,117375.38
354,1,96,35210.98
355,1,97,30023.13
356,1,98,19452.26
357,1,99,895.0
358,1,1,31497.65
359,1,2,49439.58
360,1,3,12955.55
361,1,4,38729.31
362,1,5,47096.41
363,1,6,4344.06
364,1,7,41113.57
365,1,8,36222.74
366,1,9,31948.63
367,1,10,31747.07
368,1,11,33129.25
369,1,12,7587.6
370,1,13,41658.4
371,1,14,23852.42
372,1,16,5715.31
373,1,17,10484.57
374,1,18,41114.36
375,1,19,1414.06
376,1,20,2690.25
377,1,21,9686.83
378,1,22,9107.88
379,1,23,31241.47
380,1,24,9842.25
381,1,25,11802.37
382,1,26,8443.46
383,1,27,1752.13
384,1,28,820.59
385,1,29,6750.53
386,1,30,2573.12
387,1,31,3432.08
388,1,32,13979.39
389,1,33,9505.36
390,1,34,10172.39
391,1,35,3023.41
392,1,36,3169.24
393,1,37,2963.19
394,1,38,66962.97
395,1,40,59020.69
396,1,41,1005.0
397,1,42,6824.05
398,1,44,9623.65
399,1,45,11.97
400,1,46,22154.5
401,1,48,2672.0
402,1,49,9011.1
403,1,52,4292.33
404,1,54,35.8
405,1,55,11692.44
406,1,56,1708.9
407,1,58,3380.0
408,1,59,2044.76
409,1,60,1486.2
410,1,67,8250.17
411,1,71,2418.32
412,1,72,60494.84
413,1,74,10017.61
414,1,79,34196.74
415,1,80,18932.74
416,1,81,36081.52
417,1,82,29846.11
418,1,83,6311.38
419,1,85,3476.91
420,1,87,54537.22
421,1,90,97444.15
422,1,91,76147.22
423,1,92,165723.32
424,1,93,85789.38
425,1,94,58927.88
426,1,95,148798.05
427,1,96,30734.52
428,1,97,30023.13
429,1,98,14921.54
430,1,99,990.0
431,1,1,45773.03
432,1,2,51137.42
433,1,3,13180.05
434,1,4,39154.41
435,1,5,49399.79
436,1,6,6653.93
437,1,7,47751.41
438,1,8,37149.3
439,1,9,28716.62
440,1,10,28609.0
441,1,11,27581.07
442,1,12,7231.92
443,1,13,35237.93
444,1,14,15633.38
445,1,16,5513.25
446,1,17,13487.5
447,1,18,33932.27
448,1,19,1749.04
449,1,20,3619.16
450,1,21,9686.83
451,1,22,10538.3
452,1,23,40193.56
453,1,24,12694.74
454,1,25,11820.17
455,1,26,10671.46
456,1,27,2773.33
457,1,28,820.59
458,1,29,9210.45
459,1,30,3152.56
460,1,31,3432.08
461,1,32,13979.39
462,1,33,10083.01
463,1,34,10172.39
464,1,35,3532.72
465,1,36,1517.27
466,1,37,2466.9
467,1,38,70757.72
468,1,40,62733.74
469,1,41,1005.0
470,1,42,5756.34
471,1,44,8587.31
472,1,46,31913.56
473,1,48,139.0
474,1,49,9383.13
475,1,52,2935.1
476,1,54,28.92
477,1,55,25261.76
478,1,56,1746.36
479,1,58,3380.0
480,1,59,1080.47
481,1,60,1443.2
482,1,67,11859.38
483,1,71,2418.32
484,1,72,62424.9
485,1,74,7986.96
486,1,79,34196.74
487,1,80,20943.81
488,1,81,31972.69
489,1,82,41964.81
490,1,83,6851.53
491,1,85,3545.8
492,1,87,48093.57
493,1,90,116538.94
494,1,91,65913.64
495,1,92,165633.02
496,1,93,90651.47
497,1,94,60278.73
498,1,95,120721.07
499,1,96,40787.89
500,1,97,40044.91
501,1,98,18987.35
502,1,99,895.0
503,1,1,33878.68
504,1,2,65615.36
505,1,3,13180.05
506,1,4,47785.93
507,1,5,35082.96
508,1,6,14149.98
509,1,7,72398.79
510,1,8,41062.58
511,1,9,47275.64
512,1,10,31325.61
513,1,11,31435.36
514,1,12,7784.82
515,1,13,36950.91
516,1,14,32556.25
517,1,16,8612.24
518,1,17,19842.0
519,1,18,22602.34
520,1,19,1414.06
521,1,20,4184.73
522,1,21,9686.83
523,1,22,10538.3
524,1,23,62381.0
525,1,24,11274.48
526,1,25,11820.17
527,1,26,9502.94
528,1,27,2773.33
529,1,28,820.59
530,1,29,8445.01
531,1,30,3152.56
532,1,31,4743.7
533,1,32,35301.3
534,1,33,13657.4
535,1,34,16180.84
536,1,35,3045.08
537,1,36,4298.54
538,1,37,2401.0
539,1,38,70757.72
540,1,40,63663.51
541,1,41,4164.38
542,1,42,5756.34
543,1,44,8587.31
544,1,46,43637.95
545,1,47,49.97
546,1,48,6445.0
547,1,49,11692.02
548,1,52,4192.75
549,1,54,72.92
550,1,55,45369.2
551,1,56,1009.09
552,1,58,3380.0
553,1,59,4400.06
554,1,60,1293.6
555,1,67,17227.37
556,1,71,5137.59
557,1,72,88777.64
558,1,74,16702.92
559,1,79,34196.74
560,1,80,20943.81
561,1,81,32117.05
562,1,82,63787.12
563,1,83,5372.91
564,1,85,3545.8
565,1,87,48093.57
566,1,90,97444.15
567,1,91,65913.64
568,1,92,173805.71
569,1,93,90651.47
570,1,94,58927.88
571,1,95,121695.13
572,1,96,40787.89
573,1,97,40044.91
574,1,98,18987.35
575,1,99,2080.0
576,1,1,10178.58
577,1,2,65615.36
578,1,3,8848.44
579,1,4,36913.8
580,1,5,25755.98
581,1,6,6649.99
582,1,7,34020.68
583,1,8,32419.78
584,1,9,22884.84
585,1,10,25764.32
586,1,11,25764.32
587,1,12,7699.0
588,1,13,32871.95
589,1,14,25912.59
590,1,16,4678.67
591,1,17,10619.45
592,1,18,16032.12
593,1,19,878.8
594,1,20,4009.01
595,1,21,7329.41
596,1,22,11551.12
597,1,23,23757.52
598,1,24,3295.41
599,1,25,15195.72
600,1,26,5003.84
601,1,27,1624.8
602,1,28,714.86
603,1,29,8445.01
604,1,30,3152.56
605,1,31,2286.59
606,1,32,6461.84
607,1,33,3568.0
608,1,34,16180.84
609,1,35,3045.08
610,1,36,1026.0
611,1,37,2401.44
612,1,38,80117.78
613,1,40,58568.16
614,1,41,1573.0
615,1,42,6924.5
616,1,44,3802.42
617,1,46,24492.77
618,1,48,6445.0
619,1,49,15772.53
620,1,52,1403.25
621,1,54,48.0
622,1,55,22366.22
623,1,56,283.82
624,1,58,1780.0
625,1,59,1522.32
626,1,60,589.6
627,1,67,5050.32
628,1,71,4031.65
629,1,72,54020.11
630,1,74,15132.59
631,1,79,24738.86
632,1,80,15722.33
633,1,81,24167.38
634,1,82,23820.76
635,1,83,5372.91
636,1,85,2760.09
637,1,87,48035.97
638,1,90,77988.13
639,1,91,48263.59
640,1,92,120037.4
641,1,93,59286.64
642,1,94,48990.5
643,1,95,93358.91
644,1,96,45408.45
645,1,97,30320.41
646,1,98,8705.87
647,1,99,500.0
648,1,1,16567.69
649,1,2,43202.29
650,1,3,15808.15
651,1,4,37947.8
652,1,5,19298.42
653,1,6,1479.92
654,1,7,12377.76
655,1,8,36930.94
656,1,9,16131.88
657,1,10,24500.27
658,1,11,22496.85
659,1,12,8111.01
660,1,13,33668.55
661,1,14,17744.78
662,1,16,5668.32
663,1,17,8582.2
664,1,18,9171.73
665,1,19,714.21
666,1,20,4485.95
667,1,21,7716.16
668,1,22,7742.97
669,1,23,15395.96
670,1,24,3087.45
671,1,25,6350.26
672,1,26,4010.16
673,1,27,2538.15
674,1,28,656.29
675,1,29,4993.4
676,1,30,2456.5
677,1,31,2039.49
678,1,32,5276.25
679,1,33,3835.59
680,1,34,9246.0
681,1,35,2013.82
682,1,36,792.1
683,1,37,1943.14
684,1,38,85242.8
685,1,40,63517.55
686,1,41,187.03
687,1,42,7935.25
688,1,44,3825.19
689,1,46,16304.6
690,1,48,1008.0
691,1,49,12627.13
692,1,52,1862.15
693,1,54,15.0
694,1,55,10374.82
695,1,56,946.45
696,1,58,570.0
697,1,59,1163.59
698,1,60,950.4
699,1,67,4423.23
700,1,71,1485.18
701,1,72,42581.15
702,1,74,14345.74
703,1,79,42842.53
704,1,80,16269.33
705,1,81,31560.5
706,1,82,17532.05
707,1,83,4983.9
708,1,85,4121.22
709,1,87,49541.9
710,1,90,81580.58
711,1,91,66465.54
712,1,92,158154.78
713,1,93,77548.75
714,1,94,61140.38
715,1,95,118685.12
716,1,96,19419.74
717,1,97,36612.04
718,1,98,14590.46
719,1,1,16567.69
720,1,2,43353.09
721,1,3,13822.49
722,1,4,36582.36
723,1,5,19281.61
724,1,6,1345.6
725,1,7,10189.61
726,1,8,37204.72
727,1,9,19427.31
728,1,10,25331.83
729,1,11,33958.52
730,1,12,8111.01
731,1,13,38000.25
732,1,14,14311.83
733,1,16,5894.86
734,1,17,9454.17
735,1,18,2974.17
736,1,19,758.08
737,1,20,4455.36
738,1,21,7090.86
739,1,22,8429.49
740,1,23,15395.96
741,1,24,3087.45
742,1,25,5272.76
743,1,26,4393.86
744,1,27,2538.15
745,1,28,781.19
746,1,29,4008.75
747,1,30,2425.04
748,1,31,1988.97
749,1,32,2930.02
750,1,33,2930.02
751,1,34,9246.0
752,1,35,1865.0
753,1,36,792.1
754,1,37,2361.49
755,1,38,78264.14
756,1,40,57819.87
757,1,41,187.03
758,1,42,8882.33
759,1,44,4115.74
760,1,46,16304.6
761,1,48,1291.0
762,1,49,12530.65
763,1,52,1466.0
764,1,55,10374.82
765,1,56,783.25
766,1,58,2210.0
767,1,59,165.03
768,1,60,950.4
769,1,67,4423.23
770,1,71,2160.24
771,1,72,37248.54
772,1,74,12461.85
773,1,79,42842.53
774,1,80,16501.99
775,1,81,29522.11
776,1,82,17532.05
777,1,83,4983.9
778,1,85,3081.86
779,1,87,40005.91
780,1,90,91093.52
781,1,91,68143.34
782,1,92,148782.83
783,1,93,77548.75
784,1,94,61140.38
785,1,95,118685.12
786,1,96,26772.06
787,1,97,37707.5
788,1,98,14590.46
789,1,1,18365.1
790,1,2,43753.43
791,1,3,11702.08
792,1,4,33780.2
793,1,5,19298.42
794,1,6,1592.19
795,1,7,9194.61
796,1,8,35356.12
797,1,9,13332.75
798,1,10,23852.51
799,1,11,20886.48
800,1,12,6605.12
801,1,13,37433.66
802,1,14,12695.7
803,1,16,6400.8
804,1,17,7658.87
805,1,18,1579.21
806,1,19,714.21
807,1,20,3937.59
808,1,21,7062.96
809,1,22,6025.52
810,1,23,13690.78
811,1,24,3119.12
812,1,25,6384.22
813,1,26,4492.42
814,1,27,966.46
815,1,28,781.19
816,1,29,3689.44
817,1,30,3421.12
818,1,31,1622.61
819,1,32,4671.03
820,1,33,4076.5
821,1,34,9246.0
822,1,35,1828.57
823,1,36,586.49
824,1,37,2572.41
825,1,38,78264.14
826,1,40,61387.36
827,1,41,327.0
828,1,42,6429.96
829,1,44,4302.1
830,1,45,11.47
831,1,46,16304.6
832,1,48,1008.0
833,1,49,12530.65
834,1,52,2141.04
835,1,54,13.28
836,1,55,11293.56
837,1,56,1438.75
838,1,58,2210.0
839,1,59,244.14
840,1,60,941.6
841,1,67,4902.92
842,1,71,2477.4
843,1,72,37526.8
844,1,74,10218.41
845,1,79,28181.68
846,1,80,17716.26
847,1,81,27904.03
848,1,82,17532.05
849,1,83,4983.9
850,1,85,2915.01
851,1,87,40005.91
852,1,90,76077.62
853,1,91,60879.18
854,1,92,158154.78
855,1,93,67829.2
856,1,94,61140.38
857,1,95,113021.23
858,1,96,26772.06
859,1,97,31942.34
860,1,98,10329.78
861,1,1,18378.16
862,1,2,41651.01
863,1,3,11983.34
864,1,4,32905.88
865,1,5,22118.7
866,1,6,3200.68
867,1,7,11228.15
868,1,8,34644.25
869,1,9,13213.73
870,1,10,26223.02
871,1,11,20041.24
872,1,12,7786.87
873,1,13,34312.26
874,1,14,12684.05
875,1,16,8558.07
876,1,17,7658.87
877,1,18,3938.69
878,1,19,720.98
879,1,20,3937.59
880,1,21,6843.13
881,1,22,6025.52
882,1,23,13690.78
883,1,24,3119.12
884,1,25,6350.26
885,1,26,3857.37
886,1,27,966.46
887,1,28,796.71
888,1,29,3689.44
889,1,30,3421.12
890,1,31,1571.13
891,1,32,8351.09
892,1,33,4000.47
893,1,34,7885.38
894,1,35,1410.49
895,1,36,507.34
896,1,37,2346.57
897,1,38,71672.01
898,1,40,60671.09
899,1,41,237.24
900,1,42,7694.75
901,1,44,4587.65
902,1,46,16304.6
903,1,48,1008.0
904,1,49,14081.79
905,1,52,1888.9
906,1,54,14.24
907,1,55,11293.56
908,1,56,1438.75
909,1,58,1840.0
910,1,59,359.46
911,1,60,827.2
912,1,67,4474.26
913,1,71,2121.3
914,1,72,39918.87
915,1,74,10479.64
916,1,79,27962.54
917,1,80,16269.33
918,1,81,27398.7
919,1,82,16034.0
920,1,83,4912.58
921,1,85,2461.93
922,1,87,45365.88
923,1,90,72861.66
924,1,91,59013.67
925,1,92,158154.78
926,1,93,62937.08
927,1,94,55124.2
928,1,95,102202.04
929,1,96,23337.09
930,1,97,29976.37
931,1,98,10329.78
932,1,99,8.98
933,1,1,21665.76
934,1,2,54322.24
935,1,3,12388.85
936,1,4,40274.83
937,1,5,31280.62
938,1,6,4087.58
939,1,7,21619.05
940,1,8,38317.89
941,1,9,19427.31
942,1,10,40409.5
943,1,11,17860.35
944,1,12,9612.87
945,1,13,40940.78
946,1,14,14051.43
947,1,16,18733.02
948,1,17,9741.2
949,1,18,3809.75
950,1,19,1175.9
951,1,20,3408.23
952,1,21,8168.45
953,1,22,12670.48
954,1,23,18537.41
955,1,24,5455.8
956,1,25,8798.84
957,1,26,6969.74
958,1,27,1915.13
959,1,28,641.94
960,1,29,5646.11
961,1,30,3054.34
962,1,31,1622.61
963,1,32,8955.94
964,1,33,6395.77
965,1,34,7885.38
966,1,35,2571.73
967,1,36,1271.66
968,1,37,2401.44
969,1,38,67827.4
970,1,40,63996.04
971,1,41,343.79
972,1,42,8730.84
973,1,44,4682.64
974,1,45,47.88
975,1,46,21282.81
976,1,48,137.0
977,1,49,11516.77
978,1,52,2632.9
979,1,54,28.92
980,1,55,13570.7
981,1,56,2418.0
982,1,58,3659.0
983,1,59,225.3
984,1,60,1413.6
985,1,67,7360.8
986,1,71,2869.24
987,1,72,62524.58
988,1,74,12881.53
989,1,79,32163.5
990,1,80,16911.18
991,1,81,36081.52
992,1,82,21248.19
993,1,83,4912.58
994,1,85,2548.97
995,1,87,58802.89
996,1,90,87195.4
997,1,91,62130.73
998,1,92,147179.82
999,1,93,86565.39
1000,1,94,60453.29
1001,1,95,115507.25
1002,1,96,35689.32
1003,1,97,35049.26
1004,1,98,10781.49
1005,1,99,365.0
1006,1,1,36988.49
1007,1,2,50581.06
1008,1,3,12485.78
1009,1,4,39305.13
1010,1,5,36667.65
1011,1,6,3981.09
1012,1,7,21619.05
1013,1,8,38317.89
1014,1,9,19427.31
1015,1,10,39036.14
1016,1,11,22429.17
1017,1,12,9612.87
1018,1,13,44565.32
1019,1,14,15647.59
1020,1,16,18733.02
1021,1,17,11068.7
1022,1,18,12687.47
1023,1,19,1175.9
1024,1,20,5264.6
1025,1,21,8168.45
1026,1,22,10871.95
1027,1,23,25295.03
1028,1,24,7473.32
1029,1,25,8484.31
1030,1,26,9120.37
1031,1,27,1784.56
1032,1,28,634.48
1033,1,29,6388.13
1034,1,30,3107.1
1035,1,31,1622.63
1036,1,32,13300.13
1037,1,33,4894.83
1038,1,34,14950.38
1039,1,35,3367.66
1040,1,36,1816.67
1041,1,37,3312.16
1042,1,38,78072.5
1043,1,40,66858.78
1044,1,41,359.5
1045,1,42,8250.23
1046,1,44,5616.96
1047,1,45,47.88
1048,1,46,21408.85
1049,1,48,137.0
1050,1,49,17190.6
1051,1,52,2542.17
1052,1,55,15747.17
1053,1,56,2418.0
1054,1,58,2500.0
1055,1,59,223.46
1056,1,60,1413.6
1057,1,67,22407.36
1058,1,71,4172.08
1059,1,72,71013.56
1060,1,74,12320.57
1061,1,79,45517.07
1062,1,80,20426.69
1063,1,81,36081.52
1064,1,82,21248.19
1065,1,83,5715.09
1066,1,85,3618.6
1067,1,87,65266.57
1068,1,90,88941.55
1069,1,91,67139.26
1070,1,92,158241.98
1071,1,93,75593.95
1072,1,94,62779.63
1073,1,95,125038.09
1074,1,96,35689.32
1075,1,97,35049.26
1076,1,98,10781.49
1077,1,99,4190.0
1078,1,1,46845.87
1079,1,2,49424.06
1080,1,3,10613.17
1081,1,4,41305.39
1082,1,5,30797.88
1083,1,6,3981.09
1084,1,7,16473.91
1085,1,8,38317.89
1086,1,9,23867.82
1087,1,10,37764.38
1088,1,11,26269.87
1089,1,12,9262.33
1090,1,13,43478.58
1091,1,14,18292.4
1092,1,16,11628.3
1093,1,17,10461.07
1094,1,18,28200.09
1095,1,19,762.59
1096,1,20,6051.57
1097,1,21,8467.27
1098,1,22,9723.63
1099,1,23,25581.44
1100,1,24,7473.32
1101,1,25,10225.67
1102,1,26,8684.21
1103,1,27,1784.56
1104,1,28,745.15
1105,1,29,7122.71
1106,1,30,4257.72
1107,1,31,2007.88
1108,1,32,23676.04
1109,1,33,6300.81
1110,1,34,15035.51
1111,1,35,3367.66
1112,1,36,2138.55
1113,1,37,2957.55
1114,1,38,89029.26
1115,1,40,65145.21
1116,1,41,661.0
1117,1,42,8813.08
1118,1,44,5616.96
1119,1,45,10.47
1120,1,46,20170.38
1121,1,48,1047.0
1122,1,49,17190.6
1123,1,52,1904.58
1124,1,54,152.76
1125,1,55,13026.55
1126,1,56,3930.08
1127,1,58,1995.0
1128,1,59,208.58
1129,1,60,1231.0
1130,1,67,13548.8
1131,1,71,7561.4
1132,1,72,67900.9
1133,1,74,14578.2
1134,1,79,47794.94
1135,1,80,18733.18
1136,1,81,30944.5
1137,1,82,21248.19
1138,1,83,7454.5
1139,1,85,2548.97
1140,1,87,65266.57
1141,1,90,88941.55
1142,1,91,67139.26
1143,1,92,138638.98
1144,1,93,73085.02
1145,1,94,62779.63
1146,1,95,118406.27
1147,1,96,31542.9
1148,1,97,35049.26
1149,1,98,12744.28
1150,1,99,330.0
1151,1,1,20124.22
1152,1,2,50995.5
1153,1,3,11387.31
1154,1,4,41305.39
1155,1,5,30642.53
1156,1,6,3981.09
1157,1,7,16473.91
1158,1,8,38317.89
1159,1,9,30503.3
1160,1,10,39036.14
1161,1,11,23169.16
1162,1,12,9262.33
1163,1,13,43478.58
1164,1,14,15411.12
1165,1,16,18344.1
1166,1,17,10461.07
1167,1,18,1500.24
1168,1,19,762.59
1169,1,20,5264.6
1170,1,21,8168.45
1171,1,22,11076.38
1172,1,23,22257.51
1173,1,24,7077.44
1174,1,25,9337.71
1175,1,26,8684.21
1176,1,27,1784.56
1177,1,28,745.15
1178,1,29,4607.7
1179,1,30,4257.72
1180,1,31,1622.63
1181,1,32,7476.75
1182,1,33,6401.92
1183,1,34,15035.51
1184,1,35,3367.66
1185,1,36,3397.72
1186,1,37,2957.55
1187,1,38,89029.26
1188,1,40,63509.85
1189,1,41,375.0
1190,1,42,8813.08
1191,1,44,5616.96
1192,1,45,10.47
1193,1,46,20170.38
1194,1,48,1593.0
1195,1,49,17190.6
1196,1,52,1786.71
1197,1,54,36.64
1198,1,55,13570.7
1199,1,56,3930.08
1200,1,58,1188.0
1201,1,59,223.46
1202,1,60,1231.0
1203,1,67,4357.9
1204,1,71,4657.62
1205,1,72,57117.62
1206,1,74,13927.7
1207,1,79,47794.94
1208,1,80,18733.18
1209,1,81,30944.5
1210,1,82,20526.27
1211,1,83,7454.5
1212,1,85,2548.97
1213,1,87,63903.03
1214,1,90,87195.4
1215,1,91,62130.73
1216,1,92,138638.98
1217,1,93,73085.02
1218,1,94,62779.63
1219,1,95,119807.63
1220,1,96,30707.07
1221,1,97,32002.54
1222,1,98,13364.03
1223,1,1,20327.61
1224,1,2,53035.54
1225,1,3,10689.97
1226,1,4,37943.96
1227,1,5,29345.72
1228,1,6,4183.3
1229,1,7,17500.24
1230,1,8,37244.73
1231,1,9,41235.34
1232,1,10,43718.05
1233,1,11,23169.16
1234,1,12,11947.03
1235,1,13,37801.64
1236,1,14,17281.12
1237,1,16,28635.06
1238,1,17,12994.45
1239,1,18,1023.65
1240,1,19,761.16
1241,1,20,7272.2
1242,1,21,8488.15
1243,1,22,11076.38
1244,1,23,21179.12
1245,1,24,5345.89
1246,1,25,13002.03
1247,1,26,7227.41
1248,1,27,1273.55
1249,1,28,674.35
1250,1,29,5396.35
1251,1,30,4850.96
1252,1,31,1691.74
1253,1,32,7476.75
1254,1,33,4397.45
1255,1,34,14027.29
